area_id,area_key,area_name
1,sanuki,さぬき市
2,ayagawa,綾歌郡綾川町
3,utazu,綾歌郡宇多津町
4,kannnonji,観音寺市
5,marugame,丸亀市
6,naosima,香川郡直島町
7,takamatsu,高松市
8,sakaide,坂出市
9,mitoyo,三豊市
10,syoudoshima,小豆郡小豆島町
11,tonosyo,小豆郡土庄町
12,zentsuji,善通寺市
13,manno,仲多度郡まんのう町
14,kotobira,仲多度郡琴平町
15,tadotsu,仲多度郡多度津町
16,higashikagawa,東かがわ市
17,miki,木田郡三木町
