area,name,lat,long,status,note
鎌倉市,13-7,35.3084836,139.5035043,2,七里ガ浜二丁目21番:七里ガ浜二丁目公園フェンス
鎌倉市,14-1,35.3114783,139.5193296,4,七里ガ浜東三丁目13番:七里ガ浜東三丁目公園石垣
鎌倉市,14-2,35.3099186,139.516705,5,七里ガ浜東四丁目1番:七里ガ浜東いるか公園石垣
鎌倉市,14-3,35.3112251,139.5135239,6,七里ガ浜東五丁目1番:七里ガ浜東五丁目公園フェンス
鎌倉市,14-4,35.3139676,139.5169436,0,七里ガ浜東四丁目35番:七里ガ浜東つつじ公園植込み
鎌倉市,14-5,35.3134965,139.5170232,1,七里ガ浜東四丁目34番:七里ガ浜東四丁目公園フェンス
鎌倉市,14-6,35.3127593,139.5144782,2,七里ガ浜東五丁目8番:七里ガ浜東あざらし公園石垣
鎌倉市,14-7,35.3083866,139.5187216,1,七里ガ浜東三丁目6番3号:牧野宅擁壁
鎌倉市,15-1,35.3074728,139.4992108,2,腰越一丁目10番:腰越ふぐ公園フェンス
鎌倉市,15-2,35.3073265,139.493516,4,腰越二丁目10番7号:浄泉寺塀
鎌倉市,15-3,35.3087717,139.4903066,5,腰越三丁目5番:腰越ちどり公園フェンス
鎌倉市,15-4,35.3094158,139.4947585,6,腰越二丁目26番:神戸川転落防止柵
鎌倉市,15-5,35.3126797,139.4925822,0,腰越五丁目7番1号:腰越小学校西側フェンス
鎌倉市,15-6,35.3126797,139.4925822,1,腰越五丁目7番1号:腰越小学校フェンス
鎌倉市,15-7,35.3115745,139.4929073,2,腰越五丁目6番5号:中川宅フェンス
鎌倉市,16-1,35.3128131,139.4980182,4,腰越四丁目11番20号:腰越中学校正門脇フェンス
鎌倉市,16-2,35.3126737,139.5089115,5,津460番地2:津2-2号緑地
鎌倉市,16-3,35.3154727,139.4987337,6,津西ー丁目12番:津西まつむし公園フェンス
鎌倉市,16-4,35.3133521,139.5006819,0,腰越864番地:腰越行政センター植込み
鎌倉市,16-5,35.3169305,139.5027092,1,津西一丁目9番:白山橋付近神戸川転落防止柵
鎌倉市,16-6,35.3136915,139.504691,2,津601番地86:丹後ガ谷やまばと公園脇転落防止柵
鎌倉市,16-7,35.3159245,139.49611,1,津西二丁目16番:諏訪ヶ谷青少年広場
鎌倉市,16-8,35.3143814,139.505501,2,腰越1677番地22:御所たぬき公園フェンス
鎌倉市,17-1,35.324916,139.5039814,4,西鎌倉二丁目17番:西鎌倉二丁目公園フェンス
鎌倉市,17-2,35.320577,139.5008804,5,西鎌倉三丁目10番:（有）中央地所管理駐車場
鎌倉市,17-3,35.3210965,139.501278,6,西鎌倉二丁目13番2号:高島宅塀
鎌倉市,17-4,35.3191537,139.4991312,0,西鎌倉三丁目5番:西鎌倉三丁目公園フェンス北
鎌倉市,17-5,35.3204609,139.4973821,1,西鎌倉四丁目17番地:腰越配水地フェンス
鎌倉市,17-6,35.3172975,139.495951,2,西鎌倉四丁目20番:西鎌倉すずめ公園フェンス
鎌倉市,17-7,35.3218445,139.5058103,4,西鎌倉一丁目16番:西鎌倉下水処理場
鎌倉市,18-1,35.3212797,139.5088168,5,腰越1330番地241:猫池住宅入口調整池フェンス
鎌倉市,18-2,35.3194131,139.504383,6,西鎌倉一丁目20番:モノレール西鎌倉駅フェンス
鎌倉市,18-3,35.3175772,139.5062259,0,津1037番地31:がんだがや南公園フェンス
鎌倉市,18-4,35.3181865,139.5117042,1,腰越1525番地9:西鎌倉山南公園フェンス
鎌倉市,18-5,35.3241207,139.5066141,2,津1069番地224:鎌倉山西公園フェンス
鎌倉市,18-6,35.3212797,139.5088168,1,腰越1330番地付近:西鎌倉山うぐいす公園フェンス
鎌倉市,18-7,35.3190865,139.5089733,2,津1039番地30:津1号緑地（新錬倉山バス停付近）
鎌倉市,19-1,35.3201538,139.5146373,4,鎌倉山三丁目614番地1:鎌倉山材料倉庫                          、
鎌倉市,19-2,35.324895,139.5132058,5,鎌倉山四丁目8番:グランダ鎌倉山前歩道フェンス
鎌倉市,19-3,35.3212851,139.5175138,6,笛田二丁目38番20号:あおぞら園フェンス
鎌倉市,19-4,35.3192742,139.5135239,0,鎌倉山三丁目22番:鎌倉山かりん公園フェンス
鎌倉市,19-5,35.3166245,139.5147963,1,鎌倉山三丁目1番:鎌倉山石碑正面歩道フェンス
鎌倉市,19-6,35.3185112,139.5197682,2,鎌倉山一丁目15番13号:鎌倉山集会所フェンス
鎌倉市,19-7,35.3199335,139.521296,4,鎌倉山一丁目6番29号:笛田公園入口横法地
鎌倉市,20-1,35.3277214,139.5095997,5,手広一丁目16番12号:鎌倉消防署深沢出張所フェンス
鎌倉市,20-2,35.3289641,139.51082,6,手広一丁目23番:谷際運動広場フェンス
鎌倉市,20-3,35.3302904,139.5116152,0,手広一丁目5番:手広なのはな公園フェンス
鎌倉市,20-4,35.3277867,139.5044187,1,手広四丁目35番:西ヶ谷わらび公園脇転落防止柵
鎌倉市,20-5,35.3277452,139.5063669,2,手広ー丁目16番12号:鎌倉消防署深沢出張所隣塀
鎌倉市,20-6,35.3303826,139.5131908,1,笛田一丁目2番23号:日通フェンス
鎌倉市,20-7,35.326618,139.5051741,2,手広四丁目38番:西ヶ谷あやめ公園フェンス
鎌倉市,21-1,35.3245337,139.516022,4,笛田二丁目17番1号:教養センター植込み
鎌倉市,21-2,35.3299761,139.5179263,5,笛田三丁目1番33号:神奈川スバルフェンス
鎌倉市,21-3,35.3330605,139.5164131,6,梶原630番地:深沢小学校入口交差点横フェンス
鎌倉市,21-4,35.3308878,139.5205455,0,梶原一丁目11番1号:深沢小学校フェンス
鎌倉市,21-5,35.3310744,139.5187517,1,常盤111番地3:深沢行政センターフェンス
鎌倉市,21-6,35.3257425,139.5215566,2,笛田四丁目14番:上関公園フェンス
鎌倉市,21-7,35.3276196,139.5221134,4,笛田三丁目23番:市営笛田住宅フェンス
鎌倉市,22-1,35.3199647,139.5250564,5,笛田五丁目32番:びわだ南公園柵
鎌倉市,22-2,35.3217604,139.5313728,6,常盤937番地224:（仮称）常盤緑地［仲ノ坂交差点付近掲示板脇植込み］
鎌倉市,22-3,35.3206317,139.5276318,0,笛田五丁目38番30号:鎌倉ポンプ場フェンス
鎌倉市,22-4,35.3214662,139.5252155,1,笛田五丁目10番:びわだ北公園フェンス
鎌倉市,22-5,35.3220469,139.5329952,2,常盤947番地:常盤緑地前転落防止柵
鎌倉市,22-6,35.323171,139.5292723,1,常盤386番地:東京電カパワーグリッド鎌倉変竃所フェンス
鎌倉市,22-7,35.3207971,139.5341198,2,常盤922番地2:（仮称）常盤緑地［常盤922番地15付近掲示板脇植込み］
鎌倉市,23-1,35.3283285,139.5281587,4,梶原二丁目26番:梶原やまぽうし公園植込み
鎌倉市,23-2,35.3275482,139.5285504,5,梶原四丁目2番8号:市営梶原東団地フェンス
鎌倉市,23-3,35.3266888,139.5337272,6,梶原四丁目7番:梶原9号緑地（梶原バス停付近）
鎌倉市,23-4,35.3249775,139.5365079,0,梶原五丁目2番:ききょうやま公園植込み
鎌倉市,23-5,35.3282857,139.5253746,1,梶原二丁目24番:みずの動物病院脇転落防止柵
鎌倉市,23-6,35.3308985,139.5350796,2,梶原三丁目23番:日当公園植込み
鎌倉市,23-7,35.3313625,139.5278405,4,梶原二丁目6番:（仮称）梶原4号緑地前［梶原二丁目6番付近］
鎌倉市,24-1,35.3362901,139.5158368,5,寺分字陣出8番地8の一部:深沢多目的スポーツ広場フェンス
鎌倉市,24-2,35.3398252,139.5160248,6,上町屋550番地5:長島ふな公園フェンス
鎌倉市,24-3,35.331654,139.5241019,0,寺分三丁目15番:寺分こまどり公園フェンス
鎌倉市,24-4,35.3371069,139.5203532,1,上町屋810番地1:富士塚小学校フェンス
鎌倉市,24-5,35.3331184,139.5272041,2,寺分三丁目24番:大平山公園フェンス
鎌倉市,24-6,35.3431347,139.5195615,1,上町屋325番地:三菱電機鎌倉製作所フェンス
鎌倉市,24-7,35.3362631,139.5260905,2,寺分二丁目904番地7:富士塚公園際法地
鎌倉市,25-1,35.3411017,139.525258,4,山崎781番地:高井宅塀
鎌倉市,25-2,35.3399658,139.5310346,5,山崎2289番地44:山崎ひめしゃら公園フェンス
鎌倉市,25-3,35.3421621,139.5280218,6,山崎1390番地56:山崎打越公園柵
鎌倉市,25-4,35.3386537,139.5336192,0,山崎2500番地:山崎小学校フェンス
鎌倉市,25-5,35.3430634,139.5277212,1,山崎1090番地:東京スリーブ前
鎌倉市,25-6,35.3385341,139.522725,2,山崎919番地:湘南町屋駅前歩道フェンス
鎌倉市,25-7,35.3421621,139.5280218,4,山崎1390番地:レーベンスガルテン集会所前植込み
鎌倉市,26-1,35.3301852,139.5431725,5,山ノ内字東瓜ヶ谷1236番地外:山ノ内東瓜ヶ谷緑地
鎌倉市,26-2,35.3363442,139.5466718,6,山ノ内392番地:線路転落防止柵
鎌倉市,26-3,35.332819,139.5497254,0,山ノ内1492番地3:建長寺檀信徒駐車場フェンス
鎌倉市,26-4,35.3346258,139.5478173,1,山ノ内333番地:北鎌倉踏切横空地フェンス
